"Field","Location","Source","Semantic Role","Security Property","Existing Guarantee","Gap","Status"
"A","c_KEM[1]；另见 τ1 message","H26 Fig.3 p13；§3.1 p14；§4 pp17–18","原式将 initiator 身份视图纳入 KEM context；不是自动认证","候选 identity-to-key / role consistency；需衔接 Key-IND 与 matching 正确性","H setup 与 τ1(pk_e∥s∥A)；仅在相应认证假设下可能提供消息来源保证","PO-01：身份语义、编码、局部视图与伙伴关系未闭合；τ3 经 τ1 仅间接关联；OI-01/05","Hypothesis / requires validation"
"pk_a","c_KEM[2]；ct2 封装目标","H26 Fig.3 p13；§3.1 p14；D24 Def.4.1 pp7–8","将 Alice 长期 credential 与派生关联；不是独立 MAC message 字段","候选 credential consistency / substitution resistance；非已证 UKS 游戏","诚实 setup；k2 路径；X-BIND-K-PK 仅可作为实例相关候选","PO-02：k2/k2' 与 pk_a、预期 A 的非循环链；setup 不给身份单射；QB/QT 不可借回计算 binding","Hypothesis / requires validation"
"B","c_KEM[3]；另见 τ2 message","H26 Fig.3 p13；§3.1 p14；§4 pp17–18","将 responder 身份视图纳入 KEM context","候选 identity-to-key / role consistency；不是独立身份认证定理","H setup 与 τ2(qkdKeyId∥ct*∥s∥B)；需合法认证路径","PO-03：方向不同于 A；Bob 的 τ2 验证不提供 Alice 已验证 τ3 的事实；OI-01/05","Hypothesis / requires validation"
"pk_b","c_KEM[4]；ct1 封装目标","H26 Fig.3 p13；§3.1 p14；D24 Def.4.1 pp7–8","将 Bob 长期 credential 与派生关联","候选 credential consistency / substitution resistance","诚实 setup；k1 路径；X-BIND-K-PK 候选","PO-04：k1/k1'、pk_b、预期 B 的跨层对应；τ1 使用 k1 不是直接覆盖 pk_b；不得假设 credential 唯一所有权","Hypothesis / requires validation"
"pk_e","c_KEM[5]；τ1/τ3 message；ct* 封装目标","H26 Fig.3 p13；B23 Fig.8 p22；D24 Def.4.1；X24 Def.7 p9","显式关联当前 ephemeral public key；不直接等于 session 唯一性","候选 ephemeral contribution consistency / substitution resistance","τ1 在 Alice F 前验证；KEM-AKE 引用路径；K-PK 游戏可能相关；C2PRI 不给跨公钥绑定","PO-05：接收 pk_e 的生成域、HON/LEAK/MAL 和 QPT 对应；不得从最终 key 相同推 k* 相同；τ3 路线有循环风险","Hypothesis / requires validation"
"k1 (Alice k1; Bob k1')","c_KEM[6]；τ1 key；τ3 message 的角色本地值","H26 Fig.3 p13；§3.1 p14；B23 Fig.8 p22","第一认证贡献在 context 中出现；秘密值而非公开 transcript","候选 contribution consistency；secrecy 与 uniqueness 必须分开","诚实 KEM 正确性给正常分支 k1=k1'；CCA/MAC 用于认证路径","PO-06：一般执行中不能先假设相等；EUF-CMA 不直接给跨 key 唯一性；公开 α 与秘密 context 的 B1 仍开放","Hypothesis / requires validation"
"k2 (Alice k2'; Bob k2)","c_KEM[7]；τ2 key；τ3 message 的角色本地值","H26 Fig.3 p13；§3.1 p14；B23 Fig.8 p22","第二认证贡献在 context 中出现；与第一贡献方向不同","候选 contribution consistency；不自动提供 key independence","诚实 KEM 正确性；CCA/MAC 认证路径为条件性来源","PO-07：k2' 与 k2 不预先合并；QKD ID 进入 τ2 带来跨组件公开数据依赖；B1/B3、OI-04/06","Hypothesis / requires validation"
"k* (context occurrence)","c_KEM[8]；与同侧 σ_KEM 重复","H26 §3.1 p14；K25 Def.1 p8及§4.2–4.3；X24 Def.7 p9","同一局部 KEM secret 的第二个语法出现位置","候选 source/context consistency；重复不等于 cryptographic redundancy","同侧值重复是事实；C2PRI 只处理固定诚实 key 下的密文第二原像","PO-08：角色本地 k_A* 与 k_B* 不能无条件合并；合法 source/α、查询索引及输出拆分义务；不触动 σ_KEM","Hypothesis / requires validation"
"A","c_QKD[1]","H26 §3.1 p14；Def.7 pp10–11","在 QKD context 中表示 initiator 身份视图","候选 QKD endpoint-to-session association","配对节点和认证经典通道为黑盒前提；不是应用身份映射的详细游戏","PO-01：必须独立于 c_KEM[1] 审查；仍保留的另一处不自动给跨 source 绑定；OI-05","Hypothesis / requires validation"
"B","c_QKD[2]","H26 §3.1 p14；Def.7 pp10–11","在 QKD context 中表示 responder 身份视图","候选 QKD endpoint-to-session association","配对 QKD 接口；逻辑 B 与端点映射细节未明示","PO-03：独立出现位置义务；不得以 QKD 黑盒认证替代所有 HAKE 身份语义","Hypothesis / requires validation"
