id,item,classification,source,scope,adoption,required_resolution
"A01","诚实预置长期KEM key及预期peer","existing assumption","H26 p8 / p15","Π和Π′共同setup","沿用原范围","不升级为公钥到身份单射或允许恶意注册"
"A02","QPT对手与经典协议oracle","existing assumption","H26 Def.5–6 pp8–9","计算性原目标","沿用原范围","哈希访问能力另见O09；不默许QROM提升"
"A03","matching反向身份/同SID/相反角色","existing assumption","H26 Def.3","两协议同一模型解释","沿用明示关系","不能由定义推出每个接受会话存在匹配伙伴"
"A04","KEM-AKE与MAC原安全条件","existing assumption","H26 Lemma3 / B23 Fig.8及对应结果","所需假设存活的分支","按原分支保留","核对实际实例/生成/泄漏域；不自动成为C1保持结果"
"A05","理想QKD配对检索/一次输出/重复ID返回⊥","existing assumption","H26 Def.7 pp10–11","QKD正常路径","沿用黑盒范围","QKD fail分支不得继续假定理想同步；应用端点映射待证"
"A06","KDF source的c可从α提取及source collection条件","existing assumption","K25 Def.1–2 pp8–9","外部结果适用前提；不是HAKE已满足的事实","仅登记；适用性未建立","见O07/O08；不得公开HAKE秘密来满足前提"
"A07","上层提供SID唯一性的原前提","existing assumption","H26 p8；Fig.3的s=ct1∥ct2","原会话背景","仅沿用原则","精确域见O05；不增加全局历史去重"
"O01","逐角色Accept/Complete/Return程序点","open issue","OI-01；H26 Fig.3未给正式事件","T-SK/T-MATCH及泄漏资格","未冻结","依据原文裁决；不把F调用或τ3发送默认为双方接受"
"O02","Test预算/历史key/完整freshness","open issue","OI-02；H26 Def.4非正式规则","两实验挑战和无合法Test情况","未冻结","不得自动继承CK01或Boyd的Test；补全必须显式审查"
"O03","Expire/Corrupt顺序和作用域","open issue","OI-03；H26 pp8–9","T-PFS及历史查询","未冻结","明确本地/双方范围及过去key返回行为"
"O04","泄漏后进程控制及QKD设备边界","open issue","OI-04；H26查询描述","State/Corrupt与所有分支","未冻结","不得增加原模型不存在的腐化或故障oracle"
"O05","SID唯一性具体作用域","open issue","OI-05；H26与参考模型存在差异","matching和多会话查询映射","未冻结","不得自动采用CK历史域或Boyd未完成会话域"
"O06","中间状态擦除和残留","open issue","OI-06；H26无逐项时间点","k1/k2/k*/sk_e/QKD材料；PFS","not explicitly specified","不假定完美erase；未解决前T-PFS不闭合"
"O07","秘密context与公开α接口","open issue","B1；H26 p14；K25 Def.1","原Π和C1候选均需处理","blocked","C1仍含k1/k2秘密context；不能以重复项消失认定source合法"
"O08","协议/source独立性及查询索引/req","open issue","B3/B4；H26 Fig.3；K25 Def.2及查询游戏","matching/重复调用/Reveal/QKD记录","待证义务而非采用假设","建立真实辅助信息和一致记录映射；不合并不同语义记录"
"O09","RO能力及预测/碰撞余项","open issue","B2/B6；K25/K26相关界；H26 Thm.1–2","QPT与QT分开","未冻结且无损失界","不丢余项；不暗加查询上限或借计算binding支持无界结果"
"O10","确认半段与最终Key-IND联合视图","open issue","B7；H26 Fig.3 pp13–15","τ3公开后的k_h^2安全","待证义务","MAC规则不变不代表tag/验证结果相同；禁止循环"
"O11","编码域和合法输入到oracle查询的映射","open issue","M4 U4；M6 SP-03；H26拼接式","C1元组结构与实际F输入","待证义务","不补造编码；区分合法元组与任意获准RO查询"
"O12","归约对手/资源开销/ε_C1","open issue","本轮T-SK规格；既有损失均unknown","所有拟覆盖环境","unknown","需显式归约和有意义界；不得把结论差值当假设"
"X01","KEM保密失效但指定binding仍存活","additional assumption","既有QS/C-BIND候选合同","仅较窄候选环境","未采用为主定理前提","若未来启用须人工审查并声明范围收窄；不能替代QB/QT"
"X02","增加适域K-PK或C2PRI作为C1前提","additional assumption","M4/M6既有候选primitive保证","C1尚未证明需要","未采用","先说明必要子义务和实例/量词域；C2PRI不等于identity/session binding"
