Reduction,Assumption,Required bridge,Security property,Potential counterexample,Status
"SP-01；C1/C2共同","同一经审查的H语义；不导入其他模型默认规则","OI-01–06：Accept/Complete与Test及freshness和状态生命周期","Key-IND；matching correctness；原PFS","假定错误的完成点或擦除点使某次原本合法泄漏被排除；仅问题类别未构造反例","blocked"
"SP-02；C1/C2共同","原/候选均满足所引用KDF source条件；尚未验证","B1：真实可见α与秘密context合法性；不得公开秘密或改σ","最终Key-IND；hybrid robustness","将context放进公开α泄露σ_KEM而错误保留不可预测性；模型套用问题非线上泄密结论","blocked"
"SP-03；C1/C2共同","原编码及source顺序不变；合法查询域待校准","B3/B4：会话到source索引和req；重复/相关输入及Reveal一致性","Key-IND；matching correctness","对安全目标相关的不同派生记录被错误合并；reduced context相等本身不是反例","requires-proof"
"SP-04；C1/C2共同","MAC规则不变但F和tag值不预设相同","B7：确认半段与最终半段及自适应视图；避免τ3循环","最终Key-IND；原单向确认机制相关模拟","以原τ3安全论证候选F输入后再以候选F安全证明τ3；循环不是协议反例","requires-proof"
"SP-05；C1/C2共同","各分支只保留其实际允许的保证","B2/B5/B6：失败域和RO/量子接口及完整损失","原PFS；hybrid robustness；failure branch security","把较窄QS结果报成QB/QT保持；范围错误非已发现攻击","blocked"
"C1-BG；p1第8项；两侧正常","σ_KEM仍是同侧k*；不预设跨会话一致","合法元组可重建观察到完整查询/source与协议模拟；SP-01–04","Key-IND；matching correctness；原PFS","合法元组关系不足以覆盖任意RO查询或泄漏记录；未构造反例","requires-proof"
"C1-KO；p1第8项；QKD失败","KEM-AKE路径存活；QKD失败不被缩成仅泄密","秘密context接口和KEM路径在异常QKD记录下的模拟；原⊥检查","KEM存活分支Key-IND及原适用PFS","错误沿用理想QKD检索/一致性为该分支提供缺失前提；未构造反例","blocked"
"C1-QS；p1第8项；QKD正常且指定binding存活","QS仅候选窄合同；binding不等于MAC认证","独立的QKD/会话/query桥；标出额外binding具体作用","条件性Key-IND；非完整原robustness结论","从组件binding存活推出已泄漏MAC key仍能认证；未构造反例","requires-proof"
"C1-QB；p1第8项；无KEM secrecy/binding假设","只用原允许的QKD路径；不恢复计算假设","完整输入与QKD source索引及会话关联；B1–4/SP-04","原QKD存活路径的目标；尚未证明","无效借用KEM binding排除派生记录混同；未构造反例","blocked"
"C1-QT；p1第8项；无界ROM/QKD声称","不限制原对手能力以获得结果；RO接口待裁决","B2预测/碰撞余项；B6查询能力；合法输入重命名与oracle一致性","原条件ITS声称的单独核查","将未知查询损失记为零或用计算binding处理无界路径；未构造反例","blocked"
"C1-FF；p1第8项；无安全源保证","原合同不承诺非平凡安全","只核对变换范围和原失败处理；不建立新保密目标","无额外非平凡安全目标","对失败检查结构相同误读为任意故障下都保密；未构造反例","requires-proof"
"C2-BG；p2第5项；两侧正常","适域K-PK仅候选；KEM/MAC路径前提分别验证","pk_e到组件key的L1关系再到身份/角色/SID的L2；SP-01–04","Key-IND；matching correctness；原PFS","临时凭据对应正确但归属会话不明；UKS类语义问题尚未映射到原目标","requires-proof"
"C2-KO；p2第5项；QKD失败","KEM-AKE路径存活；不得依赖理想QKD同步","L1到L2桥及异常QKD记录下source/确认模拟","KEM存活路径的原安全目标","以QKD ID一次性代替本分支中的会话关联；未构造反例","blocked"
"C2-QS；p2第5项；QKD正常且指定binding存活","精确K-PK域待核；不自动保留MAC认证","primitive binding到ephemeral session再到混合source；范围收窄显式化","条件性Key-IND；非全分支保持","同组件key/pk关系没有提供预期对端或τ1来源；未构造反例","requires-proof"
"C2-QB；p2第5项；无KEM secrecy/binding假设","禁止以K-PK/C2PRI填补缺口","需独立于已失败KEM binding的协议与QKD桥；当前无依据","原QKD存活路径目标；未证明","把不同pk_e的相关记录未经依据视为同一合法会话；未构造反例","blocked"
"C2-QT；p2第5项；无界ROM/QKD声称","无计算binding/MAC前提；不暗加查询上限","无界分支的对应与B2/B6损失；当前无依据","原条件ITS声称单列","计算K-PK归约不能支持无界分支；不是已运行攻击","blocked"
"C2-FF；p2第5项；无安全源保证","不补造原合同未承诺的安全","只审查保留的调用/失败检查；不推出新保证","无额外非平凡安全目标","将原/候选均缺保证误写为已证明安全等价；未构造反例","requires-proof"
