field,type,generated_by,obtained_by,sent_on_wire,secret_or_public,generation_step,used_in_kem,used_as_mac_key,covered_by_mac_directly,covered_by_mac_indirectly,used_in_kdf_secret,used_in_kdf_context,component,lifetime,acceptance_dependency,paper_location,notes
A,身份标识,执行前身份,双方按预期对端身份获知,Fig.3 未单独发送,公开语义值,setup,not explicitly specified,no,τ1 via message A,τ3 via τ1,no,c_KEM 与 c_QKD,KEM 与 QKD,跨会话身份,τ1 验证涉及 A 但非正式 Accept,§3 p12;Fig.3 p13;§3.1 p14,作用始于预期身份与 τ1 消息及 KDF context；线上身份编码 not explicitly specified
B,身份标识,执行前身份,双方按预期对端身份获知,Fig.3 未单独发送,公开语义值,setup,not explicitly specified,no,τ2 via message B,τ3 via τ2,no,c_KEM 与 c_QKD,KEM 与 QKD,跨会话身份,τ2 验证涉及 B 但非正式 Accept,§3 p12;Fig.3 p13;§3.1 p14,作用始于预期身份与 τ2 消息及 KDF context；线上身份编码 not explicitly specified
pk_a,长期 KEM 公钥,Alice 于诚实 setup 生成,Bob 执行前已知且 Alice 持有,Fig.3 未重发,公开,setup,ct_2 的 Encaps 目标,no,no,no,no,c_KEM,KEM,长期,经 ct_2 影响 k_2；非 MAC message 字段,§2.5 p8;§3 p12;Fig.3 p13;§3.1 p14,身份绑定由 setup 假定；是否唯一归属 not explicitly specified
pk_b,长期 KEM 公钥,Bob 于诚实 setup 生成,Alice 执行前已知且 Bob 持有,Fig.3 未重发,公开,setup,ct_1 的 Encaps 目标,no,no,no,no,c_KEM,KEM,长期,经 ct_1 影响 k_1；非 MAC message 字段,§2.5 p8;§3 p12;Fig.3 p13;§3.1 p14,身份绑定由 setup 假定；是否唯一归属 not explicitly specified
pk_e,临时 KEM 公钥,Bob KGen,Bob 持有；Alice 收到,Bob→Alice 消息 2,公开,收到 ct_1 后,ct* 的 Encaps 目标,no,τ1 与 τ3,no,no,c_KEM,KEM,会话内；擦除 not explicitly specified,Alice 验 τ1 后才使用 pk_e 封装,Fig.3 p13;§3.1 p14,τ1 与 τ3 的 MAC message 均直接含 pk_e
sk_a,长期 KEM 私钥,Alice 于诚实 setup 生成,Alice,不发送,秘密,setup,Decaps ct_2,no,no,no,no,no,KEM,长期,用于 Alice 在 τ1 验证后得到 k_2',§2.5 p8;§3 p12;Fig.3 p13,Corrupt 可获内部状态；具体擦除 not explicitly specified
sk_b,长期 KEM 私钥,Bob 于诚实 setup 生成,Bob,不发送,秘密,setup,Decaps ct_1,no,no,no,no,no,KEM,长期,用于 Bob 得到 k_1' 后生成 τ1,§2.5 p8;§3 p12;Fig.3 p13,Corrupt 可获内部状态；具体擦除 not explicitly specified
sk_e,临时 KEM 私钥,Bob KGen,Bob,不发送,秘密,收到 ct_1 后,Decaps ct*,no,no,no,no,no,KEM,会话内；擦除 not explicitly specified,Bob 验 τ2 后才使用,Fig.3 p13;§3.1 p14,图未规定 sk_e 擦除时点
ct_1,KEM 密文,Alice Encaps pk_b,Alice 与 Bob,Alice→Bob 消息 1,公开,步骤 1,Decaps sk_b 的输入,no,τ1 与 τ2 通过 s,τ3 经 τ1 与 τ2,no,no,KEM,会话内；擦除 not explicitly specified,构成 s 并影响 τ1/τ2 验证,Fig.3 p13,ct_1∥ct_2=s；在 MAC message 内经 s 直接出现
ct_2,KEM 密文,Bob Encaps pk_a,Bob 与 Alice,Bob→Alice 消息 2,公开,步骤 2,Decaps sk_a 的输入,no,τ1 与 τ2 通过 s,τ3 经 τ1 与 τ2,no,no,KEM,会话内；擦除 not explicitly specified,构成 s；Alice 验 τ1 后解封,Fig.3 p13,在 MAC message 内经 s 直接出现
ct*,临时 KEM 密文,Alice Encaps pk_e,Alice 与 Bob,Alice→Bob 消息 3,公开,步骤 3,Decaps sk_e 的输入,no,τ2,τ3 经 τ2,no,no,KEM,会话内；擦除 not explicitly specified,Bob 验 τ2 后解封,Fig.3 p13,ct* 不直接出现在 τ3 的 MAC message
k_1,KEM 共享秘密,Alice Encaps pk_b,Alice；Bob 的对应值为 k_1',不发送,秘密,步骤 1,Encaps pk_b 的输出,τ1 验证端的 MAC key,τ3,no,no,c_KEM,KEM,会话内；擦除 not explicitly specified,Alice 用于验证 τ1；随后进入 KDF,Fig.3 p13;§3.1 p14,k_1 是 τ3 的直接消息项；k_1' 是 τ1 生成端密钥
k_1',KEM 解封秘密,Bob Decaps sk_b ct_1,Bob,不发送,秘密,步骤 2,Decaps sk_b 的输出,τ1 生成端的 MAC key,no,no,no,no,KEM,会话内；擦除 not explicitly specified,生成 τ1 后发送消息 2,Fig.3 p13;§2.2 p5,诚实 KEM 正确时 k_1'=k_1；作为密钥不等于直接消息覆盖
k_2,KEM 共享秘密,Bob Encaps pk_a,Bob；Alice 的对应值为 k_2',不发送,秘密,步骤 2,Encaps pk_a 的输出,τ2 验证端的 MAC key,τ3,no,no,c_KEM,KEM,会话内；擦除 not explicitly specified,Bob 用于验证 τ2；随后进入 KDF,Fig.3 p13;§3.1 p14,k_2 是 τ3 的直接消息项；k_2' 是 τ2 生成端密钥
k_2',KEM 解封秘密,Alice Decaps sk_a ct_2,Alice,不发送,秘密,步骤 3,Decaps sk_a 的输出,τ2 生成端的 MAC key,no,no,no,no,KEM,会话内；擦除 not explicitly specified,生成 τ2 后发送消息 3,Fig.3 p13;§2.2 p5,诚实 KEM 正确时 k_2'=k_2；作为密钥不等于直接消息覆盖
k*,临时 KEM 共享秘密,Alice Encaps pk_e,Alice；Bob 解封 ct* 后获得,不发送,秘密,步骤 3 Alice；步骤 4 Bob,Encaps pk_e 与 Decaps sk_e 的结果,no,no,no,σ_KEM,c_KEM,KEM,会话内；擦除 not explicitly specified,Bob 验 τ2 后获得；双方 KDF 依赖,Fig.3 p13;§3.1 p14,同一值同时在 KDF secret 和 context；经 k_h^1 关联 τ3 MAC key 而非直接消息
