"issue","HAKE source","external reference","explicit / implicit / absent","possible interpretation","risk if assumed incorrectly","recommended baseline","status"
"Accept","H26 §2.5 pp7–9、Fig.3 p13：not explicitly specified","B23 §2.4 p10 Send 可 accept；不能定位 H 事件","absent","验证成功或 key 派生都只是可能的映射，未选择","改变可测试会话及认证完成范围","不定义新 Accept；保留缺口并要求逐角色人工裁决","OPEN ISSUE OI-01"
"Complete","H26 p8：完成时计算含 session key 的本地输出；Test 描述为 calculated key","C01 §3.3 p11（PDF13）：Return 非空 key；不能自动继承","explicit","存在抽象完成概念；Figure 3 精确程序点 not explicitly specified","派生与接受混同会改变 State/Test 窗口","保留 H 抽象 Complete；Alice/Bob 程序点未冻结","PARTIAL / OI-01"
"Key output","H26 p8、Fig.3 p13及§3.1 p15：最终 key 为 k_h^2","C01 §3.3 pp10–11（PDF12–13）输出格式仅供解释","explicit","最终 key 值明确；交付应用的精确事件 not explicitly specified","把完整 F 输出或确认 key 当成 Test/Reveal 对象","对象限定 k_h^2；输出事件不擅定","PARTIAL / OI-01"
"Key confirmation","H26 §3.1 p15、Fig.3 p13：Bob 发 τ3，Alice 验证；单向","B23 Send 接受语义不是 H 的确认游戏","explicit","有确认机制及方向；独立确认安全游戏 not explicitly specified","把单向机制变成双向显式确认或已证 agreement","记录 Bob→Alice 机制；不默认额外安全事件或反向确认","CONFIRMED MECHANISM / GAME OPEN"
"Test","H26 p8、Def.5 p9：completed 且 fresh；真实 key 或等长均匀串","C01 §4.1 p14（PDF16）：未过期 Test；B23 p11：仅一次","explicit","保留 real-or-random 挑战；次数及过期后历史 key 实现 not explicitly specified","自动加 unexpired 会排除 H 文字允许的目标","不选 CK Test；公平隐藏位是引用实验的解释建议，预算/时序待审","PARTIAL / OI-02"
"Freshness","H26 Def.4 pp8–9：无 key/state reveal；腐化前过期；matching 同样满足","C01 §4.1；B23 p11 条目不得替换 H 条件","explicit","H 自称 informal；无 matching 及完整前后查询拒绝规则 not explicitly specified","擅加豁免或限制会改变安全目标","保持四条原条件；不升级为完整谓词，不用 p9 末尾直观解释放宽条件","PARTIAL / OI-02/03"
"Reveal","H26 p8：Reveal 已完成会话 session key；p15 最终 key 是 k_h^2","C01 p11 禁止过期后 key query；B23 p11 RevealKey","explicit","final key reveal 不等于 component secret reveal","误将一项组件泄漏等同最终 key 泄漏","只把 Reveal 解释为最终 key；过期查询行为待裁决","PARTIAL / OI-02/03"
"Intermediate secret reveal","H26 p8：Session-State 返回未完成会话内部状态","C01 §3.2 p9（PDF11）泄漏后不再输出；B23 p11 RevealState","explicit","有会话状态泄漏；各时点材料清单及后续行为 not explicitly specified","把 State 缩成仅 sk_e 或把它视为非侵入查询","保留整个当时内部状态的语义；清单与停止行为待审","PARTIAL / OI-04/06"
"KEM secret reveal","H26 p8 通用 Corrupt/Session-State；无独立 KEM secret reveal oracle","C01/B23 通用泄漏不能自动变成额外选择性查询","absent","主机中仍存 KEM 秘密受通用泄漏描述约束；独立接口 not explicitly specified","添加选择性泄漏能力或自动豁免 freshness","不新增独立 oracle；区分原语假设失效与主机状态泄漏","NO EXTRA ORACLE"
"QKD key reveal","H26 Def.7 pp10–11、p8 通用泄漏；无独立 QKD key reveal oracle","CK01/Boyd 未定义本项目 QKD 设备泄漏接口","absent","HAKE 主机中的 k_qkd 与外部 KMS 状态分开；独立接口 not explicitly specified","把黑盒设备全内存自动并入 party 或错误排除主机秘密","不新增接口；主机持有材料按通用规则，设备边界待审","OPEN BOUNDARY / OI-04/06"
"Corrupt","H26 p8：party 当前内部状态含全部本地秘密","C01 §3.2 p9（PDF11）、B23 p10：另有停止诚实进程规则","explicit","覆盖当前仍存长期和临时秘密；不是仅长期私钥查询","缩弱泄漏范围或自动加接管/恢复规则","保留当前全状态泄漏；不自动继承 CK 停止和接管操作","PARTIAL / OI-04/06"
"Corruption timing","H26 Def.4及PFS段 p9：过期先于腐化","C01 p14脚注6（PDF16）：单侧过期例外仅参考","explicit","先后原则明确；无 matching 时及每侧执行规则 not explicitly specified","把双侧同步过期或对端腐化豁免当原规则","保留先后约束；逐方资格待人工裁决","PARTIAL / OI-03"
"Expire","H26 p8：Expire-Session 删 respective parties 的派生 session key","C01 p11 本地完成会话 Expire；B23 p11 本地删除","explicit","会话过期及删除最终 key 明确；局部/联合操作范围 not explicitly specified","把删除 key 等同擦除全部临时材料或状态恢复","仅保留最终 key 删除和 freshness 作用；原子性待审","PARTIAL / OI-03/06"
"Erase","H26 Fig.3、§3.1：k1、k2、k*、sk_e、QKD material 的擦除时点 not explicitly specified","C01 §3.3 p11（PDF13）Return 擦除非输出状态仅参考","absent","Expire 只明确 session key；Lemma1 p11 无状态论述针对抽象 ΠQKD","完美 erase 假设会人为消除后续 Corrupt 的信息","不默认完美擦除；PFS 的实现解释需额外明确状态/擦除假设，PCS 还需恢复模型","OPEN ISSUE OI-06"
"SID","H26 p8 明示上层唯一性假设；Fig.3 p13 为 ct1∥ct2","C01 p11 历史去重；B23 §4.1 p21 未完成会话去重","explicit","原文假设存在；唯一性域/实现/碰撞处置 not explicitly specified","直接假设完美 unique SID 或引入隐藏去重机制","只记录 H 上层前提；未证明 Figure 3 满足，不增添机制","PARTIAL / OI-05"
"Identity binding","H26 p8 诚实 setup；p15 公钥预分发/可信第三方/PKI；Fig.3 持有对端公钥","C01 §3.2 初始化分发；B23 p10 不具体建模分发","implicit","预配置预期对端凭据；公钥到身份单射及独立 agreement 游戏 not explicitly specified","把可用凭据提升为完美身份绑定或会话 agreement","保留原 setup 背景，不额外假设唯一所有权或完美 binding","INTERPRETATION / REQUIRES VALIDATION"
"Matching","H26 Def.3 p8：身份反向、同 s、initiator 对 responder","C01 p11、B23 Def.9 p10 无相反角色条件","explicit","原定义可直接记录，不改为 Boyd matching","改变伙伴集合与 freshness","保留 H Def.3；匹配不保证对端完成","CONFIRMED SOURCE"
"Key secrecy","H26 Def.5–6 p9；§3.1 p15 最终 key；Thm.1 pp16–17","C01/B23 Key-IND 仅解释，不替换 H 查询条件","explicit","核心目标为 fresh 最终 key 与均匀串不可区分","降为组件秘密或纯熵性质","纳入最低目标集；游戏未冻结前不宣称已证明","CONFIRMED TARGET / GAME OPEN"
"Authentication and agreement","H26 §2.5 p7 AKE=SK加PFS；Def.6 p9 matching 完成双方同 key；pp17–18 UKS/KCI 文字讨论","C01/B23 SK 定义不能提供独立 H injective-agreement 事件","explicit","保留 H 的 AKE/SK 口径；独立身份/会话 agreement 游戏 not explicitly specified","把同 key 正确性升级为伙伴存在性/注入式认证","保留 matching 正确性及原 AKE 目标，不新增更强 agreement 假设","CONFIRMED TARGET / EXTRA CLAIMS EXCLUDED"
"Forward secrecy","H26 p9 PFS 段及Def.4；Lemma3 p16、Thm.1","C01 过期/擦除只供解释","explicit","历史 key 在先过期后长期密钥失陷下的原目标；操作闭合待定","既可能抹去原目标，也可能虚称 strong PFS","保留论文 PFS 目标但不认证实现级或更强 PFS","PARTIAL / OI-01/02/03/06"
"Post compromise security","H26 §2.5、Fig.3、§4：恢复流程和 PCS 游戏 not explicitly specified","CK01 PFS 或 Boyd SK 不等于 PCS","absent","后续重新运行不是已定义的恢复保证","把过去 key 的保密当成未来 key 自愈","排除 PCS 声明；擦除假设本身也不足以证明 PCS","NOT IN BASELINE"
"QKD failure model","H26 Def.7 p10、Lemma1 p11、Thm.2 pp18–19：黑盒偏离理想行为的 QKD fail","CK01/Boyd 无此专用接口","explicit","包含非均匀/不一致/实现泄漏；并非具体设备腐化与恢复游戏","把失败限成窃听或把它等同主机完全接管","保留 QKD 黑盒保证及 umbrella event；故障具体权限不自行补造","CONFIRMED ABSTRACTION / OPERATIONAL DETAILS OPEN"
"KEM failure model","H26 Lemma3 p16、Thm.1及p19：计算假设失效而另一分量存活","B23 Thm.2–4 为 KEM-AKE 路径参考，不定义 H 故障 oracle","explicit","KEM-AKE 路径依赖 CCA/CPA/MAC；逐组件故障 oracle not explicitly specified","把原语失效等同 Corrupt 或在失效分支偷加 binding","区分原语假设与会话暴露，不新增幸存 binding 假设","CONFIRMED CLAIM SCOPE / GAME DETAILS OPEN"
"Attacker and oracle access","H26 p8网络控制及泄漏；p9 QPT且无协议oracle叠加访问；Thm.2无界ROM","C01 经典查询与 B23 游戏只供解释","explicit","计算能力与协议/哈希接口分别记录；哈希量子访问预算 not explicitly specified","默许 QROM、无界查询或更强腐化能力","保留 QPT/经典协议查询；ITS单列为原声称，不合成统一最强攻击者","PARTIAL / HASH INTERFACE OPEN"
