"Item","HAKE source","CK01 source","Adopted interpretation","Reason"
"S01 Model source","H26 §2.5 pp7–9：引用 Boyd/CK01","C01 §3.2–4.1 pp9–15（PDF11–17）","保留 H 为规范目标；完整模型尚未冻结；OPEN ISSUE OI-01–OI-06","R-CK 与 R-Boyd 分开；B23 §2.4 pp10–11 不作为自动补全；等待人工审查"
"S02 Setup and network","H26 p8：诚实长期密钥；攻击者控制启动及网络","C01 §3.2–3.3 pp9–10（PDF11–12）","保留 H 明示能力；不加入恶意注册","B23 p10 的 NewSession/Send 仅作对照；不扩大原接口"
"S03 Matching session","H26 Def.3 pp8–9：反向身份且同 SID 且相反角色","C01 §3.3 p11（PDF13）：反向身份与同 SID；不要求相反角色","已确定：保留 H 的相反角色条件","B23 §2.4 p10 亦未要求相反角色；不得强行融合定义"
"S04 SID uniqueness","H26 p8：上层保证唯一性；Fig.3 p13 为 ct1∥ct2","C01 §3.3 p11（PDF13）：禁止历史上相同双方/SID 重用","OPEN ISSUE OI-05：保留上层原则；作用域及落实方式未采用","B23 §4.1 p21 限制未完成会话；不能默认为 CK 的历史去重"
"S05 Accept Complete Return","H26 p8 的 completed/calculated key；Fig.3 p13 无正式 Accept 点","C01 §3.3 p11（PDF13）：子程序返回非空 key 为完成","OPEN ISSUE OI-01：未将 FDone 或 Split 或验证成功指定为 Complete","B23 p10 Send 可 accept 不能定位 HAKE；需要双方分别映射"
"S06 Alice event order","H26 Fig.3 p13：F 在收 τ3 前；拆分在收 τ3 后及验证前","C01 p11（PDF13）：仅有抽象 Return；不指定 HAKE 程序点","已确定观察顺序；OPEN ISSUE OI-01：不赋予接受语义","W 记号只描述流程；不能把派生与认证接受合并"
"S07 State reveal eligibility and effect","H26 p8：仅未完成会话；返回内部状态","C01 §3.2 p9（PDF11）：泄漏后会话不再输出；p11 返回后非输出状态擦除","保留 H 的未完成前置条件；OPEN ISSUE OI-04：未采用参考停止规则","B23 p11 RevealState 条目未写相同停止规则；其他会话的查询效果也会影响游戏"
"S08 Corrupt control","H26 p8：返回当前全部内部状态","C01 §3.2 p9（PDF11）：状态泄漏且诚实进程不再激活","保留 H 泄漏内容；OPEN ISSUE OI-04：后续控制规则待裁决","B23 p10 明确停止诚实进程；不能当作 H 已逐字给出"
"S09 Erase timing","H26 pp8–9：Expire 删 key；Fig.3 无临时状态擦除点","C01 §3.3 p11（PDF13）：Return 删非输出状态；Expire 删输出 key","OPEN ISSUE OI-06：未指定 HAKE 临时状态擦除时点","Alice 验 τ3 尚需 k_h^1；Return 映射与 OI-01 联动"
"S10 Test freshness","H26 p8 Test 要求 completed/fresh；Def.4 p9 排除 key/state reveal 并要求腐化前过期；匹配会话同样约束","C01 §4.1 p14（PDF16）：completed/unexpired/unexposed；后续仍不得暴露目标与匹配会话","保留 H 明示 freshness 条件；OPEN ISSUE OI-02：完整查询资格和后续规则未冻结","B23 p11 Test 条目禁止此前目标泄漏及任一方 Corrupt；不声称与 H 或 CK 逐字一致"
"S11 Historical Test and budget","H26 p9：先过期后腐化的会话仍 fresh 且可 Test；未展开历史 key 保存","C01 §4.1 pp13–14（PDF15–16）：单目标 Test 时未过期","OPEN ISSUE OI-02：不选择历史 key 留存方案或改用 CK；Test 预算待明确","B23 p11 明确仅一次；历史 challenger 留存是候选解释而非论文事实"
"S12 Expire Corrupt order","H26 pp8–9：respective parties 删除 key；过期须先于腐化","C01 p11（PDF13）及p14脚注6（PDF16）：该侧本地过期即可腐化；另一侧不必过期或完成","已确定 CK 单侧规则；OPEN ISSUE OI-03：H 调用范围与原子性未冻结","B23 p11 的本地 Expire 与 Test 腐化禁令分列；不擅加双侧同步"
"S13 Missing partner and key Reveal","H26 pp8–9：Reveal 已完成 key；未展开过期查询及无 matching 时完整操作规则","C01 pp11–14（PDF13–16）：过期后无 key query；暴露及matching规则需按其自身游戏解释","OPEN ISSUE OI-02/03：不自行添加对端腐化豁免或查询恢复规则","撤回旧文档对无 matching 场景的无来源补全；由人工决定 H 的精确拒绝规则"
"S14 Test random distribution and advantage","H26 pp8–9：等长均匀串；优势为绝对偏差","C01 §4.1 p14（PDF16）：从协议 key 分布采样；b=0 为真","保留 H 均匀回答及绝对值；参考分布等价 requires validation","B23 p11 从 keyspace 采样且优势有因子2；隐藏位改名可区分于实质语义差异"
"S15 Confirmation and correctness","H26 Fig.3 p13及p15：Bob 到 Alice 显式确认；无反向确认消息","C01 §4.1 p15（PDF17）：不保证对端一定完成","已确定：不从 matching 正确性推出活性或双向显式接受","只记录原观察，不新增确认游戏或 theorem"
"S16 Adversary and hash access","H26 p8：QPT；无 key-exchange oracle 叠加访问","C01 原始经典查询模型；未提供 H 的量子哈希扩展","保留 H 经典协议接口；哈希查询能力 requires validation（既有证明义务）","协议查询与 RO 查询分开；不把本项当作已选择的 QROM 假设"
