field,context_position,other_occurrences,binding_object,layer,required_security_property,existing_guarantee,coverage_boundary,substitution_gap,source,linked_obligation,status
"A","c_KEM[1]","τ1 message；会话身份背景","有序发起身份与KEM凭据及本地会话","L2；L3跨组件身份对应","identity-to-key association；transcript关联；matching映射","H诚实setup及条件性τ1认证路径；K-PK仅为原语候选","K-PK不包含逻辑身份；身份写入输入本身不提供认证","凭据到身份与角色及SID域未由primitive游戏覆盖；跨context对应待证","H26 Fig.3 p13 / p14 / Def.3；D24 Def.4.1","PO-01；OI-01/05","requires validation"
"pk_a","c_KEM[2]","ct2封装目标；不直接进入MAC message","k2/k2′与A的长期凭据及会话","L1对象；L2凭据职责；L3分支可用性","K-PK候选；credential association；认证路径","候选X-BIND-K-PK；H预置凭据；KEM-AKE假设","须指定实例及HON/LEAK/MAL和攻击者域；不提供身份归属","组件key关系到预期A及matching的桥接；最终key相等不能倒推组件相等","H26 Fig.3 / p14–15；D24 Def.4.1；B23 Fig.8","PO-02；OI-04/05","requires validation"
"B","c_KEM[3]","τ2 message；会话身份背景","有序响应身份与KEM凭据及本地会话","L2；L3跨组件身份对应","identity-to-key association；transcript关联；matching映射","H诚实setup及条件性τ2认证路径；K-PK仅为原语候选","τ2保护取决于认证路径；K-PK不含B语义","凭据归属及角色视图待证；另一source含B不构成跨层证明","H26 Fig.3 p13 / p14 / Def.3；D24 Def.4.1","PO-03；OI-01/05","requires validation"
"pk_b","c_KEM[4]","ct1封装目标；不直接进入MAC message","k1/k1′与B的长期凭据及会话","L1对象；L2凭据职责；L3分支可用性","K-PK候选；credential association；认证路径","候选X-BIND-K-PK；H预置凭据；KEM-AKE假设","MAC key经KEM生成不等于pk字节被直接认证","组件key关系到预期B及matching的桥接；需独立检查τ1时序和泄漏","H26 Fig.3 / p14–15；D24 Def.4.1；B23 Fig.8","PO-04；OI-04/05","requires validation"
"pk_e","c_KEM[5]","Bob生成；ct*封装目标；τ1和τ3 message","临时凭据与k*及收到的会话消息","L1对象；L2临时凭据与transcript；L3故障边界","K-PK候选；贡献对应；条件性消息认证","候选K-PK；τ1覆盖；C2PRI仅涉及固定pk下ct第二原像","Alice收到的pk不能无条件视作诚实生成；pk_e不是SID","原语到本地会话和消息来源的桥接；τ3不能倒用于F前；PFS擦除仍开放","H26 Fig.3 / p14–15；D24 Def.4.1；X24 Def.7","PO-05；OI-05/06","requires validation"
"k1","c_KEM[6]","Alice k1 / Bob k1′；τ1 key；τ3本地message","第一KEM贡献与pk_b和ct1及认证记录","L1组件key关系；L2贡献认证；L3秘密context接口","贡献一致性；key/pk/ct关系；条件性认证","KEM IND与MAC假设；候选K-PK/K-CT或适用C2PRI","IND不是binding；EUF-CMA不自动key-commit；不预设两端相等","同一合法贡献到会话关联待证；秘密context与公开α接口B1未闭合","H26 Fig.3 / p14；D24 Def.4.1；X24 Def.7；K25 Def.1","PO-06；B1/B4；OI-04/06","requires validation"
"k2","c_KEM[7]","Alice k2′ / Bob k2；τ2 key；τ3本地message","第二KEM贡献与pk_a和ct2及含QKD ID的认证记录","L1组件key关系；L2贡献认证；L3跨组件消息接口","贡献一致性；条件性transcript认证；source合法性","KEM IND与MAC假设；候选K-PK/K-CT或适用C2PRI","保密失效不自动保留MAC；τ2含QKD ID是公开数据依赖","贡献到会话及QKD记录的桥接；B1秘密context与B3独立性接口待证","H26 Fig.3 / p14 / Lemma2；D24 Def.4.1；X24 Def.7；K25 Def.1–2","PO-07；B1/B3/B4；OI-04/06","requires validation"
"k*","c_KEM[8]","同角色σ_KEM；Alice k_A* / Bob k_B*；经F影响确认key而非τ3直接message","临时组件贡献与source及context记录","L1组件key关系；L2会话贡献；L3source/context组合","贡献对应；source索引一致性；最终Key-IND接口","KEM IND；候选K-PK/K-CT和C2PRI；KDF/source结果","同角色σ/context重复只属语法事实；C2PRI不覆盖最终hybrid key","原语输出到会话再到F查询的桥接；秘密context和确认半段暴露待证","H26 Fig.3 / p14–15；D24 Def.4.1；X24 Def.7；K25 Def.1–2","PO-08/10；B1/B4/B7","requires validation"
"A","c_QKD[1]","另见c_KEM[1]及τ1 message","应用发起身份与QKD节点及本次source记录","L3端点组合；L2身份语义","应用身份到端点对应；有序身份关联","H配对QKD节点及认证通道背景；setup与τ1条件性路径","QKD节点认证不自动建立应用身份与节点的一一对应","应用身份到QKD记录和HAKE会话的映射未由KEM binding覆盖","H26 Def.7 / Fig.3 / p14–15","PO-01/09；OI-04/05","requires validation"
"B","c_QKD[2]","另见c_KEM[3]及τ2 message","应用响应身份与QKD配对节点及source记录","L3端点组合；L2身份语义","应用身份到端点对应；有序身份关联","H配对检索及认证通道背景；setup与τ2条件性路径","理想节点检索不等于任意HAKE会话中B身份已认证","配对节点到预期B和会话的桥接；失效分支不恢复τ2认证","H26 Def.7 / Fig.3 / p14–15","PO-03/09；OI-04/05","requires validation"
"qkdKeyId","c_QKD[3]","GetKey输出；GetKeyById参数；τ2和τ3 message","两端QKD检索与本次HAKE组合记录","L3同步与失败语义；L2消息及会话关联；无直接L1对应","QKD标识同步；一次性检索；条件性transcript关联","H配对检索及每key至多一次输出；重复ID返回⊥；τ2/τ3原流程","ID唯一性不等于随机key值唯一或应用会话唯一；τ3在F之后","QKD端点到应用会话及source索引映射；KEM路径失效时可用保证待审","H26 Def.7 / Fig.3 / p14–15；K25 Def.1–2","PO-09；B3/B4；OI-04/05","requires validation"
