"cell_id","contract","branch","property","attacker","surviving_assumptions","paper_claim","paper_evidence","audit_status","reduced_protocol_obligation","excluded_inference"
"BG-AG","C-H","BG","matching正确性","QPT；经典协议查询；RO访问语义待闭合","KEM-AKE与QKD均正常；setup和freshness与合法F映射","SK第一条件","Thm.1 pp16–17","原文声明；独立归约受B1–B7限制","同一投影的matching完成结果一致；明确Complete与QKD失败概率语义","候选未证明；不把原文声明当独立核验"
"BG-SK","C-H","BG","最终k_h^2 Key-IND","QPT；经典协议查询；RO访问语义待闭合","KEM-AKE与QKD均正常；setup和freshness与合法F映射","SK第二条件","Thm.1 pp16–17","原文声明；独立归约受B1–B7限制","重建source和auxiliary及查询模拟；处理τ3后半key不可区分与损失","候选未证明；不把原文声明当独立核验"
"BG-PFS","C-H","BG","CK01-PFS","QPT；经典协议查询；RO访问语义待闭合","KEM-AKE与QKD均正常；setup和freshness与合法F映射","随SK和freshness声称","Thm.1 pp16–17","原文声明；独立归约受B1–B7限制","显示Test到Expire再Corrupt的合法轨迹；H-history语义另核对","候选未证明；不把原文声明当独立核验"
"BG-KC","C-H","BG","Bob到Alice确认","QPT；经典协议查询；RO访问语义待闭合","KEM-AKE与QKD均正常；setup和freshness与合法F映射","流程和文字说明而非独立确认游戏","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","只记录ConfirmSend_B与ConfirmVerify_A；如声称对应需另证","无Alice到Bob显式确认；无双方同时接受"
"BG-UK","C-H","BG","UKS及KCI","QPT；经典协议查询；RO访问语义待闭合","KEM-AKE与QKD均正常；setup和freshness与合法F映射","文字讨论且未提供逐分支独立游戏","§4 pp17–18","未见原逐分支独立定理","若纳入贡献需分别定义身份及腐化游戏；不能从SK总句自动升级","不是原已证扩展游戏"
"KO-AG","C-H","KO","matching正确性","QPT；经典协议查询；RO访问语义待闭合","CCA认证KEM与CPA临时KEM及MAC安全；QKD可失效","SK第一条件","Thm.1及p19","原文声明；B1使KEM源直接映射失败","同一投影的matching完成结果一致；明确Complete与QKD失败概率语义","候选未证明；不把原文声明当独立核验"
"KO-SK","C-H","KO","最终k_h^2 Key-IND","QPT；经典协议查询；RO访问语义待闭合","CCA认证KEM与CPA临时KEM及MAC安全；QKD可失效","SK第二条件","Thm.1及p19","原文声明；B1使KEM源直接映射失败","重建source和auxiliary及查询模拟；处理τ3后半key不可区分与损失","候选未证明；不把原文声明当独立核验"
"KO-PFS","C-H","KO","CK01-PFS","QPT；经典协议查询；RO访问语义待闭合","CCA认证KEM与CPA临时KEM及MAC安全；QKD可失效","随SK和freshness声称","Thm.1及p19","原文声明；B1使KEM源直接映射失败","显示Test到Expire再Corrupt的合法轨迹；H-history语义另核对","候选未证明；不把原文声明当独立核验"
"KO-KC","C-H","KO","Bob到Alice确认","QPT；经典协议查询；RO访问语义待闭合","CCA认证KEM与CPA临时KEM及MAC安全；QKD可失效","流程和文字说明而非独立确认游戏","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","只记录ConfirmSend_B与ConfirmVerify_A；如声称对应需另证","无Alice到Bob显式确认；无双方同时接受"
"KO-UK","C-H","KO","UKS及KCI","QPT；经典协议查询；RO访问语义待闭合","CCA认证KEM与CPA临时KEM及MAC安全；QKD可失效","文字讨论且未提供逐分支独立游戏","§4 pp17–18","未见原逐分支独立定理","若纳入贡献需分别定义身份及腐化游戏；不能从SK总句自动升级","不是原已证扩展游戏"
"QS-AG","C-H","QS","matching正确性","QPT；指定binding需同攻击者类","QKD正常；KEM secrecy可失效；指定binding另假设存活","SK第一条件","Thm.1及p19的宽泛KEM失效口径","本项目为审查而细分；不得把binding追加成原前提","同一投影的matching完成结果一致；明确Complete与QKD失败概率语义","候选未证明；不把原文声明当独立核验"
"QS-SK","C-H","QS","最终k_h^2 Key-IND","QPT；指定binding需同攻击者类","QKD正常；KEM secrecy可失效；指定binding另假设存活","SK第二条件","Thm.1及p19的宽泛KEM失效口径","本项目为审查而细分；不得把binding追加成原前提","重建source和auxiliary及查询模拟；处理τ3后半key不可区分与损失","候选未证明；不把原文声明当独立核验"
"QS-PFS","C-H","QS","CK01-PFS","QPT；指定binding需同攻击者类","QKD正常；KEM secrecy可失效；指定binding另假设存活","随SK和freshness声称","Thm.1及p19的宽泛KEM失效口径","本项目为审查而细分；不得把binding追加成原前提","显示Test到Expire再Corrupt的合法轨迹；H-history语义另核对","候选未证明；不把原文声明当独立核验"
"QS-KC","C-H","QS","Bob到Alice确认","QPT；指定binding需同攻击者类","QKD正常；KEM secrecy可失效；指定binding另假设存活","流程和文字说明而非独立确认游戏","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","只记录ConfirmSend_B与ConfirmVerify_A；如声称对应需另证","无Alice到Bob显式确认；无双方同时接受"
"QS-UK","C-H","QS","UKS及KCI","QPT；指定binding需同攻击者类","QKD正常；KEM secrecy可失效；指定binding另假设存活","文字讨论且未提供逐分支独立游戏","§4 pp17–18","未见原逐分支独立定理","若纳入贡献需分别定义身份及腐化游戏；不能从SK总句自动升级","不是原已证扩展游戏"
"QB-AG","C-H","QB","matching正确性","QPT；不使用KEM secrecy或binding假设","QKD正常；setup和原状态规则；MAC计算保证亦不可暗借","SK第一条件","Thm.1及p19；未枚举各binding游戏","宽泛原声明的待核验分支；B2–B7未闭合","同一投影的matching完成结果一致；明确Complete与QKD失败概率语义","候选未证明；不把原文声明当独立核验"
"QB-SK","C-H","QB","最终k_h^2 Key-IND","QPT；不使用KEM secrecy或binding假设","QKD正常；setup和原状态规则；MAC计算保证亦不可暗借","SK第二条件","Thm.1及p19；未枚举各binding游戏","宽泛原声明的待核验分支；B2–B7未闭合","重建source和auxiliary及查询模拟；处理τ3后半key不可区分与损失","候选未证明；不把原文声明当独立核验"
"QB-PFS","C-H","QB","CK01-PFS","QPT；不使用KEM secrecy或binding假设","QKD正常；setup和原状态规则；MAC计算保证亦不可暗借","随SK和freshness声称","Thm.1及p19；未枚举各binding游戏","宽泛原声明的待核验分支；B2–B7未闭合","显示Test到Expire再Corrupt的合法轨迹；H-history语义另核对","候选未证明；不把原文声明当独立核验"
"QB-KC","C-H","QB","Bob到Alice确认","QPT；不使用KEM secrecy或binding假设","QKD正常；setup和原状态规则；MAC计算保证亦不可暗借","流程和文字说明而非独立确认游戏","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","只记录ConfirmSend_B与ConfirmVerify_A；如声称对应需另证","无Alice到Bob显式确认；无双方同时接受"
"QB-UK","C-H","QB","UKS及KCI","QPT；不使用KEM secrecy或binding假设","QKD正常；setup和原状态规则；MAC计算保证亦不可暗借","文字讨论且未提供逐分支独立游戏","§4 pp17–18","未见原逐分支独立定理","若纳入贡献需分别定义身份及腐化游戏；不能从SK总句自动升级","不是原已证扩展游戏"
"QT-AG","C-H","QT","matching正确性","原文声称无界；ROM；未给足查询预算","QKD正常；原理想化黑盒；不得依赖计算性binding","SK第一条件","Thm.2 pp18–19","原声明未通过所引定理的独立核验；B2与B6关键","同一投影的matching完成结果一致；明确Complete与QKD失败概率语义","候选未证明；不把原文声明当独立核验"
"QT-SK","C-H","QT","最终k_h^2 Key-IND","原文声称无界；ROM；未给足查询预算","QKD正常；原理想化黑盒；不得依赖计算性binding","SK第二条件","Thm.2 pp18–19","原声明未通过所引定理的独立核验；B2与B6关键","重建source和auxiliary及查询模拟；处理τ3后半key不可区分与损失","候选未证明；不把原文声明当独立核验"
"QT-PFS","C-H","QT","CK01-PFS","原文声称无界；ROM；未给足查询预算","QKD正常；原理想化黑盒；不得依赖计算性binding","随SK和freshness声称","Thm.2 pp18–19","原声明未通过所引定理的独立核验；B2与B6关键","显示Test到Expire再Corrupt的合法轨迹；H-history语义另核对","候选未证明；不把原文声明当独立核验"
"QT-KC","C-H","QT","Bob到Alice确认","原文声称无界；ROM；未给足查询预算","QKD正常；原理想化黑盒；不得依赖计算性binding","流程和文字说明而非独立确认游戏","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","只记录ConfirmSend_B与ConfirmVerify_A；如声称对应需另证","无Alice到Bob显式确认；无双方同时接受"
"QT-UK","C-H","QT","UKS及KCI","原文声称无界；ROM；未给足查询预算","QKD正常；原理想化黑盒；不得依赖计算性binding","文字讨论且未提供逐分支独立游戏","§4 pp17–18","未见原逐分支独立定理","若纳入贡献需分别定义身份及腐化游戏；不能从SK总句自动升级","不是原已证扩展游戏"
"FF-AG","C-H","FF","matching正确性","QPT或更强；无存活保密来源","仍保留算法语法和接口；无存活安全来源","无非平凡安全承诺","Thm.1的min界不能给非平凡保证","没有原承诺；不要求变体补造","不得宣称双方全坏仍安全","候选未证明；不把原文声明当独立核验"
"FF-SK","C-H","FF","最终k_h^2 Key-IND","QPT或更强；无存活保密来源","仍保留算法语法和接口；无存活安全来源","无非平凡安全承诺","Thm.1的min界不能给非平凡保证","没有原承诺；不要求变体补造","不得宣称双方全坏仍安全","候选未证明；不把原文声明当独立核验"
"FF-PFS","C-H","FF","CK01-PFS","QPT或更强；无存活保密来源","仍保留算法语法和接口；无存活安全来源","无非平凡安全承诺","Thm.1的min界不能给非平凡保证","没有原承诺；不要求变体补造","不得宣称双方全坏仍安全","候选未证明；不把原文声明当独立核验"
"FF-KC","C-H","FF","Bob到Alice确认","QPT或更强；无存活保密来源","仍保留算法语法和接口；无存活安全来源","无非平凡安全承诺","Fig.3 p13；§3.1 p15","未见原逐分支独立定理","不得宣称双方全坏仍安全","无Alice到Bob显式确认；无双方同时接受"
"FF-UK","C-H","FF","UKS及KCI","QPT或更强；无存活保密来源","仍保留算法语法和接口；无存活安全来源","无非平凡安全承诺","§4 pp17–18","未见原逐分支独立定理","不得宣称双方全坏仍安全","不是原已证扩展游戏"
"N-SK","C-BIND(D;X;P;Q)","BG|KO|QS","指定单位置投影的SK与PFS","需明确QPT/PPT及RO能力","指定binding存活加所有source与协议义务","本研究待证较窄合同","security-model.md §7","未证明；未启用","证明binding游戏足以提升至HAKE身份与会话语义","不覆盖QB或QT；不等于完整保持"
"W-AUX","W","BG|KO|QS|QB","identity-role及贡献及session separation与MAC对应","逐目标另定","不得预先假设待删字段带来的绑定","本研究辅助不变量","research-scope.md；security-model.md §8","未证明","只在需要的分支和程序点建立非循环不变量","不是原论文独立认证定理"
"X-MTEST","EXT","范围外","多Test independence及全transcript integrity与PCS","另行定义","需新模型","未承诺","research-scope.md","范围外","本阶段不建立证明","不可从单Test或PFS直接推出"
